name,index year,overall score,property rights,government integrity,tax burden,government spending,business freedom,monetary freedom,trade freedom,investment freedom,financial freedom
Australia,2003,77.4,90,85,58.6,58.9,85,82.1,77,70,90
Hong Kong,2003,89.8,90,79,93.6,90.2,100,85.5,90,90,90
New Zealand,2003,81.1,90,94,62.4,53,85,85.3,80.4,90,90
Singapore,2003,88.2,90,92,87.8,90.2,100,88.6,85,90,70
Switzerland,2003,79,90,84,80.4,55.3,70,88.3,83,70,90
Australia,2002,77.3,90,83,56.4,61.1,85,83.3,77.4,70,90
Hong Kong,2002,89.4,90,77,93.8,90.3,100,83.7,90,90,90
New Zealand,2002,80.7,90,94,62.5,49.6,85,86.5,78.4,90,90
Singapore,2002,87.4,90,91,83.1,90.3,100,89,83,90,70
Switzerland,2002,79.3,90,86,80,56.7,70,88.1,83,70,90
Australia,2001,77.4,90,87,55.4,67.3,70,87.9,79,70,90
Hong Kong,2001,89.9,90,77,93.7,91,100,87.4,90,90,90
New Zealand,2001,81.1,90,94,62.5,49.6,85,91.2,78,90,90
Singapore,2001,87.8,90,91,83.1,90.3,100,92.9,83,90,70
Switzerland,2001,76,90,89,80.1,22,70,90.2,83,70,90
Australia,2000,77.1,90,87,55.8,63.3,70,89,79,70,90
Hong Kong,2000,89.5,90,78,93,92.3,100,82.5,90,90,90
New Zealand,2000,80.9,90,94,65.8,47.1,85,87.6,78.6,90,90
Singapore,2000,87.7,90,91,82.7,91.3,100,90.9,83,90,70
Switzerland,2000,76.8,90,89,80.7,28,70,92.2,81,70,90
Australia,1999,76.4,90,89,55.7,56,70,87.9,79.4,70,90
Hong Kong,1999,88.5,90,73,91.8,92.9,100,79.2,90,90,90
New Zealand,1999,81.7,90,92,66,58,85,86.8,77.4,90,90
Singapore,1999,86.9,90,87,82.7,93.4,100,86.4,83,90,70
Switzerland,1999,79.1,90,86,80.4,54.4,70,89.7,81.6,70,90
Australia,1998,75.6,90,86,56.1,54.8,70,84,79.4,70,90
Hong Kong,1998,88,90,70,91.9,92.4,100,78,90,90,90
New Zealand,1998,79.2,90,94,64.6,55.8,85,84.7,78.6,70,90
Singapore,1998,87,90,88,82.7,92.1,100,86.9,83,90,70
Switzerland,1998,79,90,88,77.4,56.2,70,88.5,81.6,70,90
Australia,1997,75.5,90,88,56.6,55.1,70,82.8,77,70,90
Hong Kong,1997,88.6,90,71,91.8,93,100,81.1,90,90,90
New Zealand,1997,79,90,96,64.7,53.9,85,83.7,78.6,70,90
Singapore,1997,87.3,90,93,80.6,94,100,85.8,83,90,70
Switzerland,1997,78.6,90,88,77.7,54.4,70,86.7,80.6,70,90
Australia,1996,74,90,70,59.3,53.4,70,86.5,77,70,90
Hong Kong,1996,90.5,90,90,91.4,92,100,81.1,90,90,90
New Zealand,1996,78.1,90,90,65.1,48.6,85,86,78.6,70,90
Singapore,1996,86.5,90,90,80.8,90.7,100,84.4,83,90,70
Switzerland,1996,76.8,70,90,78,53.4,70,91.6,78,90,70
